,HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime,Dist
1,264,25,9244,19,M,N,O,O,S,2,3,5,0,42.03,B,1300,5.801714
2,38,25,9243,22,M,Y,S,P,S,0,3,2,0,21.01,W,1000,1.52949
3,1039,25,9244,26,M,Y,O,O,S,3,7,5,1,16.17,D,700,32.20097
4,613,25,9244,19,M,Y,O,O,S,1,2,4,0,44.06,B,645,23.50205
7,2053,25,9244,31,F,Y,G,F,P,1,7,2,0,12.52,9,-1,32.69045
8,5129,5198,9011,22,M,Y,O,O,S,2,1,4,0,110.4,B,840,6.428893
9,135,38,9031,32,F,Y,G,F,P,4,6,5,0,9.47,9,-1,16.03554
10,212,38,9031,30,F,Y,S,P,P,0,3,2,0,22.88,9,-1,6.5530919999999995
11,606,25,9244,24,F,Y,G,P,S,2,4,4,0,22.65,B,700,23.0445
12,523,38,9031,20,M,Y,S,P,S,2,3,3,1,39.6,B,600,15.25818
13,186,5198,9011,20,F,Y,O,O,S,2,6,4,0,16.42,9,-1,68.09488
14,4025,25,9244,20,F,Y,S,P,S,2,4,2,1,114.94,9,-1,34.88996
15,596,38,9031,21,F,Y,S,P,S,1,2,2,0,31.93,B,800,20.937720000000002
16,3683,5198,9011,23,M,Y,O,O,S,2,7,3,0,23.59,B,1200,40.51645
17,2258,38,9031,20,M,Y,O,O,S,3,4,4,0,41.19,B,800,28.241169999999997
18,46,38,9031,25,M,Y,O,O,S,2,7,2,0,26.72,B,1510,1.368845
19,47,25,9244,32,M,N,P,F,P,0,3,1,0,28.94,9,-1,3.1204009999999998
20,435,38,9031,26,F,Y,S,P,P,1,2,4,2,38.6,B,700,15.34301
21,327,38,9031,22,M,Y,O,O,S,2,7,3,0,127.77,B,1030,16.60991
22,4057,5119,9270,42,M,Y,M,F,P,2,5,2,2,44.41,9,-1,15.95951
23,5133,38,9031,59,F,Y,P,F,P,3,5,4,0,31.59,9,-1,71.81282
24,5074,5168,9272,41,F,Y,S,P,S,1,2,3,0,61.1,D,845,6.893901
25,3810,25,9244,20,F,Y,O,O,S,3,7,5,1,15.01,G,740,36.32829
26,161,25,9244,19,F,N,O,O,S,1,4,5,0,23.86,B,800,10.32033
27,409,25,9244,24,F,Y,P,P,P,0,2,3,0,46.49,9,-1,16.87074
28,400,25,9244,20,M,N,O,O,S,0,1,3,0,29.11,9,-1,19.81746
29,105,25,9243,56,M,N,P,F,P,0,6,2,0,4.72,9,-1,7.567728
30,4108,5198,9011,21,F,Y,S,P,S,3,5,3,0,24.62,D,800,36.62417
32,551,25,9244,23,M,N,O,O,S,2,6,4,0,12.55,B,1125,17.13451
33,3375,38,9031,39,F,Y,O,O,P,2,4,4,4,42.8,9,-1,40.54452
34,5050,5198,9011,21,M,Y,O,O,S,2,4,3,0,33.97,D,830,11.9774
35,3648,5198,9011,19,F,Y,O,O,S,2,5,3,1,15.71,9,-1,47.08021
36,3714,231,9022,27,F,Y,S,P,S,1,3,1,1,15.74,9,-1,41.7229
37,122,38,9031,47,M,Y,P,F,P,0,7,1,0,24.08,9,-1,9.495546000000001
38,154,38,9031,19,F,Y,O,O,S,2,6,3,1,17.89,B,645,12.871030000000001
39,531,25,9244,24,F,N,S,P,S,0,4,4,0,20.41,9,-1,14.32955
40,3810,25,9244,24,M,Y,O,O,S,2,3,4,0,22.35,B,630,36.32829
41,71,38,9031,34,M,Y,S,P,S,1,6,2,0,26.24,B,900,2.6751729999999996
42,4120,2667,9290,19,M,Y,S,P,S,2,4,3,1,23.16,D,700,64.60284
43,4108,38,9031,25,M,Y,O,O,P,2,6,3,0,8.87,9,-1,48.8801
44,2255,38,9031,44,F,Y,P,P,P,3,2,5,1,19.52,9,-1,24.73604
45,3379,38,9031,22,M,Y,O,O,S,4,4,5,0,34.78,9,-1,37.90907
46,5166,5198,9011,23,F,Y,P,P,S,2,2,7,0,28.93,B,730,2.120519
47,2132,2667,9290,26,F,Y,O,O,S,3,7,4,0,15.92,9,-1,12.92371
48,2121,430,S441,36,F,Y,O,O,S,1,4,2,0,24.04,9,-1,1.114453
49,5186,5198,9011,28,F,Y,P,F,S,1,4,1,0,48.41,9,-1,4.923166
51,2229,231,9022,34,F,Y,G,F,P,3,2,2,1,14.99,9,-1,26.86782
52,38,25,9244,18,F,N,O,O,S,0,1,2,0,37.3,W,1000,1.52949
53,158,38,9031,21,F,Y,S,P,S,1,2,4,6,24.57,W,1100,10.41682
54,158,38,9031,19,F,Y,S,P,S,1,2,4,6,24.57,B,700,10.41682
55,38,25,9244,18,M,Y,O,O,S,0,1,2,0,36.77,C,745,1.52949
56,5175,5198,9011,19,M,Y,P,P,S,1,1,4,0,10.18,9,-1,0.7319249999999999
57,3690,25,9244,19,M,Y,O,O,S,2,4,5,0,18.83,J,900,27.35652
58,463,25,9244,21,M,Y,O,O,S,2,4,4,0,23.11,B,800,14.499870000000001
59,35,38,9031,83,F,N,O,O,P,1,4,2,0,9.82,W,940,1.3645720000000001
60,464,5198,9011,23,M,Y,O,O,S,1,7,3,0,21.09,9,-1,78.68078
61,5166,5198,9011,24,F,Y,P,P,S,1,3,2,0,45.56,B,910,2.120519
62,93,38,9031,30,M,Y,P,F,P,3,4,2,0,55.21,9,-1,3.235429
63,2616,38,9031,20,F,Y,S,P,S,2,6,3,0,32.23,B,730,42.62933
64,5135,5198,9011,26,F,Y,P,P,S,1,4,2,0,61.24,B,800,7.704689999999999
65,5158,5198,9011,19,F,N,O,O,S,2,5,3,0,33.9,B,1015,3.15986
66,3657,3851,9309,23,M,Y,O,O,S,0,7,3,0,63.05,B,1120,3.553611
67,2108,371,9261,18,F,Y,O,O,S,5,6,5,0,39.85,D,700,21.01242
68,118,69,9103,34,M,Y,P,P,S,1,3,2,0,23.11,9,-1,6.853555999999999
69,3381,69,9103,21,F,Y,G,P,S,3,7,3,0,18.88,9,-1,40.195809999999994
70,46,69,9103,35,M,Y,P,P,S,0,2,2,2,61.72,9,-1,1.297744
71,374,371,9261,23,F,N,O,O,S,2,2,4,0,16.87,9,-1,3.57044
72,3656,371,9261,37,F,Y,G,F,P,2,5,2,1,7.45,9,-1,22.09276
73,3686,371,9261,25,F,Y,O,O,S,2,3,2,0,15.7,D,830,18.81173
75,196,69,9103,75,M,Y,O,O,P,1,4,2,0,20.04,9,-1,8.466409
76,3686,371,9261,20,M,Y,P,F,P,2,6,3,0,12.56,9,-1,18.81173
77,1241,1199,E0297,20,F,Y,O,O,S,3,4,4,0,73.27,9,-1,5.503831999999999
78,47,69,9103,20,F,N,O,O,S,0,7,2,0,22.65,W,1010,1.063099
79,21,69,9103,29,M,Y,P,P,S,1,7,2,0,5.06,W,800,2.04452
80,353,69,9103,21,M,Y,G,P,S,4,7,5,1,26.3,B,815,15.80479
81,3622,371,9261,31,F,Y,S,F,P,2,4,5,0,14.61,9,-1,14.47743
82,3337,371,9261,25,M,Y,S,P,P,2,2,3,0,4.74,9,-1,9.106768
84,1219,1199,1556,22,F,Y,S,P,S,2,3,2,0,162.11,D,1030,3.3942579999999998
85,41,69,9103,26,F,Y,O,O,S,1,7,2,0,23.63,9,-1,1.84044
86,79,69,9103,19,F,Y,O,O,S,0,7,1,0,26.23,9,-1,3.752367
88,3649,371,9261,18,M,Y,S,P,S,2,4,3,1,21.86,P,930,18.02177
89,68,69,9103,20,M,N,O,O,S,0,2,2,0,42.82,W,1500,0.97324
90,334,69,9103,51,F,Y,G,F,P,2,3,2,0,10.41,W,1705,16.45929
91,278,69,9103,77,M,Y,O,O,P,1,1,1,0,41.13,9,-1,4.257021
92,219,69,9103,24,F,N,O,O,S,2,6,4,0,32.61,B,745,8.442875
93,104,69,9103,27,M,9,P,P,P,1,5,4,0,12.19,C,915,3.631853
95,592,484,E0266,59,M,Y,O,O,S,2,4,3,0,10.29,D,1430,4.632547000000001
96,173,69,9103,27,F,Y,S,P,S,0,2,2,0,16.52,B,1225,4.036774
97,67,69,9103,22,M,Y,P,F,S,0,2,2,0,29.94,W,845,1.897934
98,2376,69,9103,22,M,Y,O,O,S,4,5,5,0,37.92,J,730,28.21476
99,21,278,9108,40,M,Y,G,P,P,1,2,2,2,34.51,9,-1,2.030561
100,186,69,9103,30,M,N,9,P,S,0,7,2,0,33.96,9,-1,2.957752
101,3686,69,9103,46,M,Y,P,F,P,1,5,3,1,6.73,9,-1,25.313650000000003
102,71,69,9103,27,M,N,O,O,S,0,7,1,0,39.99,W,1820,1.132351
103,41,69,9103,22,F,Y,O,O,S,0,3,2,0,26.84,W,830,1.84044
104,46,69,9103,29,M,Y,P,P,S,0,1,2,0,17.57,9,-1,1.297744
105,474,69,9103,23,M,Y,S,P,S,2,5,4,0,21.21,D,930,19.35977
106,5171,69,9103,62,F,N,O,O,P,0,2,1,0,15.99,J,645,66.1484
107,454,69,9103,20,M,Y,O,O,S,0,1,2,0,21.94,B,1315,11.74369
108,25,69,9103,34,F,Y,P,F,P,0,4,1,0,17.89,W,1715,3.41576
109,2209,69,9103,31,M,Y,O,O,S,1,3,3,0,17.44,9,-1,24.16866
111,50,69,9103,24,M,Y,P,P,S,1,1,1,0,46.42,W,855,1.5870020000000002
112,385,371,9261,18,M,Y,S,P,S,2,5,3,0,10.78,B,1000,5.017492999999999
113,3607,3851,9309,17,M,Y,O,O,S,1,3,2,1,17.84,B,730,4.506405
114,71,69,9103,22,M,Y,S,P,P,0,2,4,0,15.39,W,1000,1.132351
115,3678,371,9261,18,F,Y,O,O,S,3,4,5,0,50.26,B,815,21.245240000000003
116,3654,69,9103,21,M,Y,P,P,S,2,6,4,0,42.92,B,1200,18.495369999999998
118,16,69,9103,60,F,N,O,O,S,0,5,6,0,6.14,9,-1,4.1230329999999995
119,3418,371,9261,18,M,Y,O,O,S,2,4,3,0,22.92,9,-1,16.07141
120,424,371,9261,31,F,Y,P,F,P,1,3,1,0,43.35,9,-1,15.61203
121,101,69,9103,20,M,Y,G,P,S,1,6,3,0,8.77,B,1405,3.6798390000000003
122,46,69,9103,33,F,Y,P,F,S,0,4,2,0,17.57,9,-1,1.297744
123,579,278,C026,27,F,Y,O,O,P,1,4,6,1,26.31,P,1830,18.87987
124,3380,371,9261,18,M,Y,M,P,S,1,3,4,1,26.2,9,-1,16.68237
125,369,69,9103,18,M,Y,O,O,S,0,2,2,1,55.41,B,855,20.49631
126,3670,69,9103,25,F,N,O,O,S,1,4,3,0,18.19,9,-1,16.98824
127,74,69,9103,23,F,Y,O,O,S,0,2,2,0,6.26,W,945,0.699414
128,3622,69,9103,18,M,Y,G,J,S,1,4,4,0,16.25,B,1200,18.75543
129,2368,69,9103,28,M,Y,O,O,S,2,5,3,0,21.18,9,-1,23.519849999999998
130,48,69,9103,20,F,Y,O,O,S,0,1,1,0,36.75,W,905,1.199355
131,385,69,9103,26,M,Y,S,P,S,2,4,4,0,28.07,B,730,20.40364
132,3602,5198,9011,20,M,N,O,O,S,1,7,4,0,42.08,B,800,41.67274
133,4186,5198,9011,22,M,Y,M,P,S,2,6,3,0,57.29,9,-1,28.34698
134,110,25,9244,29,F,N,O,O,P,0,7,1,1,13.0,9,-1,5.570017
135,106,25,9244,39,M,Y,P,F,P,2,6,2,0,4.72,B,1700,8.261479
136,5179,5198,9011,23,F,N,P,P,S,0,2,2,0,88.55,B,1000,4.076137
139,3620,5198,9011,24,M,Y,O,O,S,1,6,3,1,31.44,9,-1,53.00807
140,3616,38,9031,20,F,Y,S,J,S,3,7,4,0,13.73,9,-1,39.33389
141,562,465,550,24,F,Y,O,O,S,0,2,3,0,69.92,9,-1,14.75707
142,25,38,9031,40,M,Y,S,F,P,1,2,1,0,12.04,9,-1,1.52949
143,76,57,9093,40,F,Y,O,O,S,0,1,2,0,87.9,W,900,1.928585
144,544,5198,9011,21,F,Y,O,O,S,2,2,3,1,13.35,9,-1,79.13288
145,175,25,9244,19,M,Y,O,O,S,0,7,3,0,35.41,B,700,8.856021
146,4039,5198,9011,18,F,Y,O,O,S,3,6,3,0,21.2,B,1025,29.90917
147,396,38,9031,20,M,Y,O,O,S,2,5,3,0,27.21,P,700,16.93478
148,274,38,9031,36,M,Y,P,F,P,1,5,2,1,5.22,9,-1,5.182155
149,122,5198,9011,29,F,Y,P,F,S,2,6,2,0,24.69,9,-1,59.730309999999996
150,443,44,C023,36,F,Y,P,F,P,1,6,2,0,12.45,9,-1,11.06701
151,553,38,9031,18,F,Y,O,O,S,1,2,3,0,16.21,B,745,18.02955
152,5150,5198,9011,27,M,9,S,P,S,1,3,3,0,17.48,9,-1,7.384881999999999
153,432,38,9031,32,M,Y,P,F,P,1,6,2,1,15.28,9,-1,16.726689999999998
154,282,38,9031,18,M,N,S,P,S,2,7,3,1,26.48,B,900,4.7423969999999995
155,37,38,9031,17,M,Y,O,O,S,0,7,0,1,8.45,9,-1,0.5361569999999999
156,4014,5198,9011,27,M,Y,O,O,S,2,4,2,0,23.1,J,730,31.94215
157,2351,25,9244,62,F,Y,O,O,S,0,1,1,0,30.09,B,645,17.90372
158,21,25,9244,45,F,Y,O,O,S,0,1,1,0,28.26,B,830,2.057186
159,90,25,9244,31,F,Y,G,F,P,1,6,2,0,16.61,9,-1,3.493251
160,4127,5198,9011,22,M,Y,O,O,P,2,2,4,2,34.0,9,-1,35.48003
161,428,38,9031,62,F,Y,O,O,P,2,4,2,0,8.84,9,-1,15.13973
162,237,231,1062,47,M,Y,O,O,P,1,2,2,2,30.39,9,-1,2.1939770000000003
163,42,38,9031,29,F,Y,S,F,P,0,3,2,0,17.14,9,-1,1.362023
164,3436,38,9031,23,M,Y,G,F,P,3,6,5,0,15.67,9,-1,41.393860000000004
165,5232,5198,9011,45,F,Y,9,F,P,2,6,2,2,28.55,9,-1,10.936020000000001
166,498,25,9244,22,M,Y,O,O,S,1,4,3,0,10.73,B,1600,18.801419999999997
167,4173,25,9243,19,M,Y,O,O,S,4,7,4,2,3.6,G,600,56.352129999999995
168,24,38,9031,21,F,Y,P,P,S,0,2,2,0,127.84,W,950,1.35742
169,3694,465,550,23,F,Y,O,O,S,3,5,4,0,14.8,D,900,36.08179
170,337,25,9244,23,M,Y,O,O,S,3,7,4,0,14.91,B,1215,18.756310000000003
171,463,38,9031,35,M,Y,O,O,S,1,1,2,0,20.27,B,900,13.79859
172,5084,5198,9011,20,F,Y,P,P,P,2,4,3,1,33.12,9,-1,8.661989
173,3354,38,9031,20,F,Y,S,P,S,3,4,4,3,8.11,J,920,37.890260000000005
174,23,38,9031,66,F,N,P,P,P,0,6,1,0,5.06,9,-1,1.111839
175,4084,5119,9270,37,M,Y,M,F,P,2,6,2,0,12.02,9,-1,23.31448
176,3369,2667,9290,25,F,Y,9,P,S,3,7,4,1,75.75,D,800,45.7304
177,343,25,9244,24,M,Y,S,P,S,2,6,4,0,15.76,B,1030,16.372870000000002
179,571,25,9244,18,M,Y,O,O,S,3,6,4,0,25.0,J,655,25.565360000000002
180,407,25,9244,19,M,9,O,O,S,1,7,4,0,4.6,P,715,17.43086
182,485,25,9244,30,F,Y,G,F,P,4,4,4,0,28.37,9,-1,16.43998
183,237,5198,9011,21,M,Y,O,O,S,3,6,5,0,40.96,9,-1,78.09586999999999
184,315,22,817,57,F,Y,P,F,P,1,5,2,0,16.53,9,-1,12.070290000000002
185,37,38,9031,21,F,Y,P,F,P,0,1,2,0,40.35,9,-1,0.5361569999999999
186,46,38,9031,21,M,Y,S,P,S,1,7,2,0,16.37,9,-1,1.368845
187,5175,5198,9011,22,M,Y,S,P,S,1,2,4,0,45.11,C,1230,0.7319249999999999
188,5175,5198,9011,27,M,Y,O,O,S,1,2,4,0,45.11,D,1500,0.7319249999999999
189,3606,5198,9011,19,M,Y,M,P,S,3,4,6,0,76.78,9,-1,47.891349999999996
190,3719,25,9244,33,F,Y,G,F,P,1,3,2,0,5.34,9,-1,37.43704
191,347,5198,9011,30,M,Y,P,F,P,1,4,2,0,19.3,D,1730,60.182790000000004
192,3650,38,9031,28,F,N,9,P,S,1,7,2,0,7.36,G,1115,30.719939999999998
193,3691,38,9031,21,M,Y,O,O,S,2,3,3,2,33.79,B,800,31.228740000000002
194,494,38,9031,22,F,Y,S,P,S,1,4,4,1,35.91,9,-1,20.768909999999998
195,2366,38,9031,21,M,Y,S,P,S,1,5,3,0,22.63,B,1100,20.29017
196,383,38,9031,18,M,Y,O,O,S,1,7,3,0,28.13,B,600,22.60084
197,3448,25,9244,19,F,Y,O,O,S,3,7,5,1,5.57,G,650,34.30503
198,1029,5198,9011,21,M,Y,S,F,P,2,6,4,0,10.8,9,-1,102.5234
200,184,25,9244,19,M,N,O,O,S,2,6,3,1,60.81,B,1305,9.155414
201,293,38,C201,19,F,N,S,P,S,1,2,3,0,19.66,B,1200,15.0305
202,278,38,9031,35,F,Y,P,F,P,1,4,1,0,28.59,9,-1,3.581594
203,202,25,9244,22,F,Y,S,P,S,1,2,2,0,49.22,9,-1,5.6316809999999995
204,366,38,9031,29,F,N,O,O,S,2,3,3,0,13.7,B,930,19.71237
205,290,25,9244,51,F,N,G,F,P,1,4,3,0,7.39,B,1630,14.646120000000002
207,2059,38,9031,30,F,Y,G,F,P,2,6,2,0,18.01,9,-1,25.9585
208,3654,38,9031,19,F,Y,O,O,S,3,7,6,0,22.98,B,730,18.97318
210,450,25,9244,32,F,Y,G,F,P,1,4,2,0,10.83,9,-1,14.72527
211,353,38,9031,20,F,Y,G,P,S,4,7,5,1,26.3,9,-1,17.321330000000003
212,5171,5198,9011,32,M,Y,P,P,S,0,3,2,0,34.4,B,1015,4.395624
213,248,25,9244,19,F,N,O,O,S,3,4,4,0,11.03,B,800,10.47995
214,2428,38,9031,22,F,Y,S,P,S,2,4,4,0,138.22,9,-1,28.44568
215,618,25,9244,26,M,N,O,O,P,1,5,5,0,31.75,9,-1,27.00234
216,229,38,9031,71,M,Y,O,O,P,1,4,3,0,16.13,9,-1,12.040329999999999
217,1046,38,9031,30,M,Y,M,F,P,4,3,4,0,25.09,D,1400,28.05498
218,270,38,9031,21,M,N,O,O,S,2,6,3,0,29.41,B,1000,3.8813540000000004
219,537,25,9244,19,F,Y,S,P,S,3,6,5,1,20.26,B,800,10.56717
220,30,38,9031,59,M,Y,S,F,P,1,7,1,1,3.89,9,-1,2.470145
221,2108,25,9244,31,M,Y,O,O,S,4,6,5,0,14.7,D,600,26.30784
222,3417,2667,9290,24,M,Y,O,O,S,2,4,5,0,32.59,9,-1,40.06333
223,328,38,9031,20,M,N,S,P,S,1,7,3,0,20.15,W,800,16.23903
224,564,38,9031,36,M,Y,P,F,P,2,6,4,0,23.22,B,1815,23.13804
225,606,25,9244,22,M,N,S,P,S,1,5,3,0,12.22,9,-1,23.0445
226,3691,38,9031,22,F,Y,P,P,S,3,4,4,2,36.24,P,1015,31.228740000000002
227,3688,5198,9011,18,M,N,O,O,S,1,3,2,0,51.04,B,715,45.75791
